brk_end,code,created,date,stage,xt_end,xt_start
2018-08-29,8b0154e9c812e543b7d936a81107fcff,2018-08-29,2018-08-29,5,2018-08-24,2018-08-06
,9cbe82b67ea2fd4573f172442fc9db24,2018-08-29,2018-08-29,2,2018-08-29,2018-08-17
,9cbe82b67ea2fd4573f172442fc9db24,2018-08-29,2018-08-02,4,2018-08-02,2018-07-24
,37b5fb04a0c52b0035d6d3309e37af14,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
,23c73714888aade95acc3f1b66406a85,2018-08-29,2018-08-29,2,2018-08-29,2018-08-16
,d5604b52db606d197437e68ae9dd44c2,2018-08-29,2018-08-28,4,2018-08-28,2018-08-07
,2ce856fe3a5b75ee01025c3b794f404c,2018-08-29,2018-08-29,2,2018-08-29,2018-08-16
2018-08-13,2ce856fe3a5b75ee01025c3b794f404c,2018-08-29,2018-08-13,6,2018-08-09,2018-07-31
,2615ef7ab06a6ee143b7eb7c1c7adc1d,2018-08-29,2018-08-29,2,2018-08-29,2018-07-19
,80ddc5281eaf1419f80fb25d81e54d55,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
,80ddc5281eaf1419f80fb25d81e54d55,2018-08-29,2018-08-07,4,2018-08-07,2018-07-30
,03fafa2e20d18adccc7107579d5b59e1,2018-08-29,2018-08-29,2,2018-08-29,2018-08-21
2018-08-21,03fafa2e20d18adccc7107579d5b59e1,2018-08-29,2018-08-21,6,2018-08-20,2018-08-02
,85125eda3e3e9a16bd2e7636898c267f,2018-08-29,2018-08-29,2,2018-08-29,2018-07-23
,8c0239d9afd74b456f8d15b07c3a711c,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
,8c0239d9afd74b456f8d15b07c3a711c,2018-08-29,2018-08-15,4,2018-08-15,2018-07-17
,c161f8a31cd2699964b1b511a4ac8cea,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,c161f8a31cd2699964b1b511a4ac8cea,2018-08-29,2018-07-31,4,2018-07-31,2018-07-19
,695baf743f60929365735a14a1c912bf,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
,695baf743f60929365735a14a1c912bf,2018-08-29,2018-08-15,4,2018-08-15,2018-08-06
,695baf743f60929365735a14a1c912bf,2018-08-29,2018-07-31,4,2018-07-31,2018-07-19
2018-08-23,a6bfa098f7622351c9fc53eb60193249,2018-08-29,2018-08-23,6,2018-08-22,2018-08-06
