date,size,still_percent,still_up,ref_len
2018-03-01,36,66.67,24,1
2018-03-02,35,74.29,26,1
2018-03-05,81,70.37,57,1
2018-03-06,82,60.98,50,1
2018-03-07,62,67.74,42,1
2018-03-08,107,77.57,83,1
2018-03-09,137,90.51,124,1
2018-03-12,144,41.67,60,1
2018-03-13,60,23.33,14,1
2018-03-14,17,64.71,11,1
2018-03-15,15,80.0,12,1
2018-03-16,18,50.0,9,1
2018-03-19,18,77.78,14,1
2018-03-20,18,50.0,9,1
2018-03-21,15,60.0,9,1
2018-03-22,20,55.0,11,1
2018-03-23,18,61.11,11,1
2018-03-26,14,85.71,12,1
2018-03-27,16,43.75,7,1
2018-03-28,9,55.56,5,1
2018-03-29,6,100.0,6,1
2018-03-30,10,80.0,8,1
2018-04-02,10,90.0,9,1
2018-04-03,15,46.67,7,1
2018-04-04,19,63.16,12,1
2018-04-09,30,50.0,15,1
2018-04-10,25,64.0,16,1
2018-04-11,24,37.5,9,1
2018-04-12,13,69.23,9,1
2018-04-13,12,58.33,7,1
2018-04-16,19,36.84,7,1
2018-04-17,12,66.67,8,1
2018-04-18,17,70.59,12,1
2018-04-19,15,66.67,10,1
2018-04-20,11,45.45,5,1
2018-04-23,6,100.0,6,1
2018-04-24,14,64.29,9,1
2018-04-25,11,54.55,6,1
2018-04-26,8,50.0,4,1
2018-04-27,7,100.0,7,1
2018-05-02,12,66.67,8,1
2018-05-03,13,53.85,7,1
2018-05-04,13,100.0,13,1
2018-05-07,29,72.41,21,1
2018-05-08,35,57.14,20,1
2018-05-09,22,72.73,16,1
2018-05-10,19,31.58,6,1
2018-05-11,11,54.55,6,1
2018-05-14,15,66.67,10,1
2018-05-15,15,40.0,6,1
2018-05-16,7,57.14,4,1
2018-05-17,6,66.67,4,1
2018-05-18,10,70.0,7,1
2018-05-21,21,80.95,17,1
2018-05-22,20,30.0,6,1
2018-05-23,10,80.0,8,1
2018-05-24,15,66.67,10,1
2018-05-25,14,28.57,4,1
2018-05-28,6,50.0,3,1
2018-05-29,6,50.0,3,1
2018-05-30,4,75.0,3,1
2018-05-31,6,50.0,3,1
2018-06-01,5,40.0,2,1
2018-06-04,6,100.0,6,1
2018-06-05,8,62.5,5,1
2018-06-06,6,33.33,2,1
2018-06-07,5,20.0,1,1
2018-06-08,8,87.5,7,1
2018-06-11,15,66.67,10,1
2018-06-12,26,46.15,12,1
2018-06-13,16,56.25,9,1
2018-06-14,13,61.54,8,1
2018-06-15,9,66.67,6,1
2018-06-19,7,100.0,7,1
2018-06-20,10,50.0,5,1
2018-06-21,5,80.0,4,1
2018-06-22,4,75.0,3,1
2018-06-25,4,75.0,3,1
2018-06-26,5,80.0,4,1
2018-06-27,5,60.0,3,1
2018-06-28,16,93.75,15,1
2018-06-29,130,37.69,49,1
2018-07-02,66,84.85,56,1
2018-07-03,79,21.52,17,1
2018-07-04,23,39.13,9,1
2018-07-05,11,63.64,7,1
2018-07-06,12,58.33,7,1
2018-07-09,12,75.0,9,1
2018-07-10,13,53.85,7,1
2018-07-11,9,100.0,9,1
2018-07-12,32,59.38,19,1
2018-07-13,27,77.78,21,1
2018-07-16,29,44.83,13,1
2018-07-17,16,18.75,3,1
2018-07-18,7,28.57,2,1
2018-07-19,6,33.33,2,1
2018-07-20,5,60.0,3,1
2018-07-23,10,80.0,8,1
2018-07-24,16,75.0,12,1
2018-07-25,13,76.92,10,1
2018-07-26,14,50.0,7,1
2018-07-27,13,53.85,7,1
2018-07-30,8,50.0,4,1
2018-07-31,8,50.0,4,1
2018-08-01,4,50.0,2,1
2018-08-02,3,33.33,1,1
2018-08-03,1,100.0,1,1
2018-08-06,4,100.0,4,1
2018-08-07,12,41.67,5,1
2018-08-08,5,40.0,2,1
2018-08-09,4,50.0,2,1
2018-08-10,6,83.33,5,1
2018-08-13,5,20.0,1,1
