brk_end,code,created,date,emphasis,stage,xt_end,xt_start,the_p,the_v,the_tover
2018-03-13,706097606cda1ce1d9f7757c6e9150c8,2018-08-15,2018-03-13,0,5,2018-03-12,2018-02-26,3.39,1.71,3.43
2018-05-08,706097606cda1ce1d9f7757c6e9150c8,2018-08-15,2018-05-07,0,5,2018-05-04,2018-04-18,9.92,4.15,8.52
2018-07-13,706097606cda1ce1d9f7757c6e9150c8,2018-08-15,2018-07-10,0,5,2018-07-09,2018-05-14,3.23,1.79,3.81
2018-07-30,706097606cda1ce1d9f7757c6e9150c8,2018-08-15,2018-07-30,0,5,2018-07-27,2018-07-13,3.75,1.37,2.12
2018-05-10,a72cdb9839a1c4e68f174121b33c3a7d,2018-08-15,2018-05-10,0,5,2018-05-09,2018-04-17,5.28,3.52,5.59
2018-07-30,a72cdb9839a1c4e68f174121b33c3a7d,2018-08-15,2018-07-27,0,5,2018-07-26,2018-06-21,10.05,4.1,6.5
2018-03-07,9a3416093aac7d4c8f76e27e765694a4,2018-08-15,2018-03-06,0,5,2018-03-05,2018-02-13,4.2,1.79,3.78
2018-04-02,9a3416093aac7d4c8f76e27e765694a4,2018-08-15,2018-03-29,0,5,2018-03-28,2018-03-07,10.04,1.59,4.43
2018-06-15,9a3416093aac7d4c8f76e27e765694a4,2018-08-15,2018-06-14,0,5,2018-06-13,2018-05-30,4.35,1.78,14.02
2018-05-11,feed50d75ca7dd68868f403518e7eeef,2018-08-15,2018-05-10,0,5,2018-05-09,2018-04-17,3.05,3.25,1.99
2018-07-27,7fa02f4fe301b16e155ffa01073a0c40,2018-08-15,2018-07-27,0,5,2018-07-26,2018-07-06,3.85,1.87,8.39
2018-03-12,4287fd7307fa14ab2c04c4680b06ebed,2018-08-15,2018-03-01,0,5,2018-02-28,2018-02-13,1.35,1.05,0.43
2018-05-11,4287fd7307fa14ab2c04c4680b06ebed,2018-08-15,2018-05-10,0,5,2018-05-09,2018-03-23,10.0,2.31,5.93
2018-04-20,45c300ecc731403bd071a85c50efd2b1,2018-08-15,2018-04-18,0,5,2018-04-17,2018-02-22,10.06,2.23,3.44
2018-07-25,45c300ecc731403bd071a85c50efd2b1,2018-08-15,2018-07-23,0,5,2018-07-20,2018-06-21,1.59,1.0,0.67
2018-05-08,d3a470304a90f67772a69570d426774e,2018-08-15,2018-05-08,0,5,2018-05-07,2018-04-17,5.13,2.3,1.58
2018-07-27,d3a470304a90f67772a69570d426774e,2018-08-15,2018-07-27,0,5,2018-07-26,2018-06-21,4.57,2.57,4.66
2018-03-02,1bdc14b0ff2cb3f46ba88778bc22003d,2018-08-15,2018-03-02,0,5,2018-03-01,2018-02-13,10.0,3.41,2.88
2018-05-23,1bdc14b0ff2cb3f46ba88778bc22003d,2018-08-15,2018-05-23,0,5,2018-05-22,2018-03-26,4.89,3.55,4.52
2018-03-22,39e4b41aaad1cde84d96b33d27948c3f,2018-08-15,2018-03-20,0,5,2018-03-19,2018-03-02,10.01,2.18,4.17
2018-05-08,39e4b41aaad1cde84d96b33d27948c3f,2018-08-15,2018-05-04,0,5,2018-05-03,2018-04-17,1.74,1.44,1.69
2018-07-24,39e4b41aaad1cde84d96b33d27948c3f,2018-08-15,2018-07-20,0,5,2018-07-19,2018-06-19,1.96,0.71,0.63
2018-04-11,e7585c2a015226f3c6d72baf89001b10,2018-08-15,2018-04-11,0,5,2018-04-10,2018-03-27,9.97,0.86,1.09
2018-05-10,e7585c2a015226f3c6d72baf89001b10,2018-08-15,2018-05-08,0,5,2018-05-07,2018-04-11,1.65,1.51,1.7
2018-07-27,e7585c2a015226f3c6d72baf89001b10,2018-08-15,2018-07-26,0,5,2018-07-25,2018-06-19,3.49,2.74,1.3
2018-03-07,67cbc2fb034bc8e08ce8ba6efd12bfd8,2018-08-15,2018-03-06,0,5,2018-03-05,2018-02-14,10.04,6.06,3.45
2018-03-23,67cbc2fb034bc8e08ce8ba6efd12bfd8,2018-08-15,2018-03-22,0,5,2018-03-21,2018-03-07,4.07,1.27,2.4
2018-05-08,67cbc2fb034bc8e08ce8ba6efd12bfd8,2018-08-15,2018-05-07,0,5,2018-05-04,2018-04-17,2.61,1.18,0.75
2018-06-14,67cbc2fb034bc8e08ce8ba6efd12bfd8,2018-08-15,2018-06-14,0,5,2018-06-13,2018-05-30,4.54,3.73,2.08
2018-07-27,67cbc2fb034bc8e08ce8ba6efd12bfd8,2018-08-15,2018-07-27,0,5,2018-07-26,2018-06-19,3.74,2.78,2.19
2018-03-13,04e42992b605cd4b94d5aa72465203a4,2018-08-15,2018-03-08,0,5,2018-03-07,2018-02-13,2.33,1.56,0.4
2018-04-26,04e42992b605cd4b94d5aa72465203a4,2018-08-15,2018-04-24,0,5,2018-04-23,2018-03-13,10.0,3.62,1.49
2018-05-24,04e42992b605cd4b94d5aa72465203a4,2018-08-15,2018-05-23,0,5,2018-05-22,2018-04-26,1.07,1.24,0.86
2018-07-17,04e42992b605cd4b94d5aa72465203a4,2018-08-15,2018-07-13,0,5,2018-07-12,2018-06-21,3.22,2.04,0.8
2018-03-12,66c3178f70fcc2975d38d45a6c9a0c02,2018-08-15,2018-03-09,0,5,2018-03-08,2018-02-26,2.88,1.28,2.71
2018-04-11,66c3178f70fcc2975d38d45a6c9a0c02,2018-08-15,2018-04-11,0,5,2018-04-10,2018-03-23,3.06,1.26,2.09
2018-07-17,66c3178f70fcc2975d38d45a6c9a0c02,2018-08-15,2018-07-13,0,5,2018-07-12,2018-06-27,5.94,1.99,12.87
2018-03-12,557a34a1e29af04318198b090c0b38ab,2018-08-15,2018-03-08,0,5,2018-03-07,2018-02-26,3.05,1.43,0.66
2018-07-03,557a34a1e29af04318198b090c0b38ab,2018-08-15,2018-07-03,0,5,2018-07-02,2018-06-19,5.0,1.28,0.98
2018-07-17,557a34a1e29af04318198b090c0b38ab,2018-08-15,2018-07-16,0,5,2018-07-13,2018-07-05,10.03,2.5,1.61
2018-07-30,557a34a1e29af04318198b090c0b38ab,2018-08-15,2018-07-26,0,5,2018-07-25,2018-07-17,4.1,1.11,1.88
2018-03-13,1a02406afde1583c827c84dfc5192a98,2018-08-15,2018-03-09,0,5,2018-03-08,2018-02-27,2.43,1.06,1.49
2018-03-27,1a02406afde1583c827c84dfc5192a98,2018-08-15,2018-03-27,0,5,2018-03-26,2018-03-13,10.06,2.96,6.08
2018-04-16,1a02406afde1583c827c84dfc5192a98,2018-08-15,2018-04-16,0,5,2018-04-13,2018-04-02,4.44,1.21,4.44
2018-05-23,1a02406afde1583c827c84dfc5192a98,2018-08-15,2018-05-23,0,5,2018-05-22,2018-05-14,3.44,1.97,3.61
2018-06-29,1a02406afde1583c827c84dfc5192a98,2018-08-15,2018-06-29,0,5,2018-06-28,2018-06-19,5.49,1.28,2.38
2018-07-17,1a02406afde1583c827c84dfc5192a98,2018-08-15,2018-07-16,0,5,2018-07-13,2018-06-29,4.73,1.62,3.95
2018-07-24,11b7300ff2d3e0cd5c74741199336f92,2018-08-15,2018-07-23,0,5,2018-07-20,2018-06-21,4.45,1.63,0.51
2018-08-07,11b7300ff2d3e0cd5c74741199336f92,2018-08-15,2018-08-07,0,5,2018-08-06,2018-07-24,3.26,3.69,2.75
2018-04-18,20a9891f094cc7f9f98c945fa62ebdce,2018-08-15,2018-04-13,0,5,2018-04-12,2018-02-14,0.31,1.47,0.13
2018-03-22,0dcc186552dcebfca38be759b8dbbcdc,2018-08-15,2018-03-09,0,5,2018-03-08,2018-02-13,2.33,1.77,1.77
2018-07-25,0dcc186552dcebfca38be759b8dbbcdc,2018-08-15,2018-07-23,0,5,2018-07-20,2018-06-19,2.0,1.5,5.28
2018-03-27,f7152b27bbf546adcd0047b954fe5168,2018-08-15,2018-03-27,0,5,2018-03-26,2018-02-26,3.8,3.17,2.97
2018-05-08,f7152b27bbf546adcd0047b954fe5168,2018-08-15,2018-05-07,0,5,2018-05-04,2018-04-17,2.34,1.13,1.02
2018-07-18,f7152b27bbf546adcd0047b954fe5168,2018-08-15,2018-07-12,0,5,2018-07-11,2018-06-19,2.66,1.7,1.0
2018-03-06,683bf80d0696a9c4534eb8742612741a,2018-08-15,2018-03-05,0,5,2018-03-02,2018-02-13,4.75,1.71,5.39
2018-07-25,683bf80d0696a9c4534eb8742612741a,2018-08-15,2018-07-25,0,5,2018-07-24,2018-07-06,9.92,4.48,4.91
2018-03-05,720b8d39b616f102e63015de011a499b,2018-08-15,2018-03-01,0,5,2018-02-28,2018-02-13,3.83,1.85,0.97
2018-05-08,720b8d39b616f102e63015de011a499b,2018-08-15,2018-05-08,0,5,2018-05-07,2018-03-05,10.01,5.69,5.66
2018-07-26,720b8d39b616f102e63015de011a499b,2018-08-15,2018-07-24,0,5,2018-07-23,2018-07-11,1.64,0.99,0.72
2018-03-13,0532ab1a4dbeae9a1eeb44823cb7d7cf,2018-08-15,2018-03-09,0,5,2018-03-08,2018-02-13,1.53,1.37,0.69
2018-07-26,0532ab1a4dbeae9a1eeb44823cb7d7cf,2018-08-15,2018-07-24,0,5,2018-07-23,2018-06-19,2.2,1.57,0.74
2018-03-12,3c5aa37c1421f70bce59985f38220fba,2018-08-15,2018-03-12,0,5,2018-03-09,2018-02-13,4.3,1.29,2.31
2018-06-05,3c5aa37c1421f70bce59985f38220fba,2018-08-15,2018-06-01,0,5,2018-05-31,2018-03-12,0.44,1.14,1.17
2018-03-08,b3270088547ca933bb4a0d23a0a76481,2018-08-15,2018-03-08,0,5,2018-03-07,2018-02-26,6.21,1.8,6.91
2018-07-10,b3270088547ca933bb4a0d23a0a76481,2018-08-15,2018-07-09,0,5,2018-07-06,2018-06-21,2.08,2.05,2.36
2018-07-25,b3270088547ca933bb4a0d23a0a76481,2018-08-15,2018-07-23,0,5,2018-07-20,2018-07-10,4.87,1.75,2.52
2018-08-08,b3270088547ca933bb4a0d23a0a76481,2018-08-15,2018-08-07,0,5,2018-08-06,2018-07-25,4.57,0.78,2.82
2018-03-16,ccc318e38d283ad65b9c3f2a2ea87914,2018-08-15,2018-03-16,0,5,2018-03-15,2018-02-26,5.1,1.73,1.43
2018-05-10,ccc318e38d283ad65b9c3f2a2ea87914,2018-08-15,2018-05-10,0,5,2018-05-09,2018-03-26,3.51,2.16,1.61
2018-07-26,ccc318e38d283ad65b9c3f2a2ea87914,2018-08-15,2018-07-25,0,5,2018-07-24,2018-06-21,0.72,1.13,1.18
2018-08-08,ccc318e38d283ad65b9c3f2a2ea87914,2018-08-15,2018-08-07,0,5,2018-08-06,2018-07-26,10.0,3.06,4.99
2018-03-27,c1a0c26b8a8fc4f6302d37cc5527c981,2018-08-15,2018-03-26,0,5,2018-03-23,2018-03-01,3.33,2.69,3.17
2018-04-19,90c7ccd01f78c86b075747f68daea139,2018-08-15,2018-04-18,0,5,2018-04-17,2018-04-04,6.07,1.58,3.52
2018-03-06,fe3a3db67d625528c9673f14d4714fb8,2018-08-15,2018-03-05,0,5,2018-03-02,2018-02-13,6.34,3.56,0.75
2018-04-02,fe3a3db67d625528c9673f14d4714fb8,2018-08-15,2018-03-30,0,5,2018-03-29,2018-03-06,5.95,2.84,0.84
2018-07-16,fe3a3db67d625528c9673f14d4714fb8,2018-08-15,2018-07-13,0,5,2018-07-12,2018-07-02,9.98,1.17,3.41
2018-03-20,4def9773c1730421494f0aa8c7cd3c94,2018-08-15,2018-03-16,0,5,2018-03-15,2018-03-06,4.28,1.88,1.24
