code,brk_height,brk_tt_len,longhu_dis,xt_start,xt_end,brk_end,stage,date
706097606cda1ce1d9f7757c6e9150c8,3.39,1,-1,2018-02-26,2018-03-12,2018-03-13,5,2018-03-13
706097606cda1ce1d9f7757c6e9150c8,17.56,2,0,2018-04-18,2018-05-04,2018-05-08,5,2018-05-07
706097606cda1ce1d9f7757c6e9150c8,15.67,4,-1,2018-05-14,2018-07-09,2018-07-13,5,2018-07-10
706097606cda1ce1d9f7757c6e9150c8,3.75,1,-1,2018-07-13,2018-07-27,2018-07-30,5,2018-07-30
a72cdb9839a1c4e68f174121b33c3a7d,5.28,1,-1,2018-04-17,2018-05-09,2018-05-10,5,2018-05-10
a72cdb9839a1c4e68f174121b33c3a7d,12.89,2,-1,2018-06-21,2018-07-26,2018-07-30,5,2018-07-27
9a3416093aac7d4c8f76e27e765694a4,7.38,2,-1,2018-02-13,2018-03-05,2018-03-07,5,2018-03-06
9a3416093aac7d4c8f76e27e765694a4,17.66,3,-1,2018-03-07,2018-03-28,2018-04-02,5,2018-03-29
9a3416093aac7d4c8f76e27e765694a4,11.13,2,1,2018-05-30,2018-06-13,2018-06-15,5,2018-06-14
feed50d75ca7dd68868f403518e7eeef,13.33,2,1,2018-04-17,2018-05-09,2018-05-11,5,2018-05-10
7fa02f4fe301b16e155ffa01073a0c40,3.85,1,-1,2018-07-06,2018-07-26,2018-07-27,5,2018-07-27
4287fd7307fa14ab2c04c4680b06ebed,64.13,8,3,2018-02-13,2018-02-28,2018-03-12,5,2018-03-01
4287fd7307fa14ab2c04c4680b06ebed,21.0,2,0,2018-03-23,2018-05-09,2018-05-11,5,2018-05-10
45c300ecc731403bd071a85c50efd2b1,13.1,3,0,2018-02-22,2018-04-17,2018-04-20,5,2018-04-18
45c300ecc731403bd071a85c50efd2b1,2.75,3,-1,2018-06-21,2018-07-20,2018-07-25,5,2018-07-23
d3a470304a90f67772a69570d426774e,5.13,1,-1,2018-04-17,2018-05-07,2018-05-08,5,2018-05-08
d3a470304a90f67772a69570d426774e,4.57,1,-1,2018-06-21,2018-07-26,2018-07-27,5,2018-07-27
1bdc14b0ff2cb3f46ba88778bc22003d,10.0,1,0,2018-02-13,2018-03-01,2018-03-02,5,2018-03-02
1bdc14b0ff2cb3f46ba88778bc22003d,4.89,1,-1,2018-03-26,2018-05-22,2018-05-23,5,2018-05-23
