brk_end,code,created,date,emphasis,stage,xt_end,xt_start,longhu_dis,brk_tt_len,brk_height
2018-03-13,2bdf8b04c5b5f86330aa2998e20e7bce,2018-08-15,2018-03-13,0,6,2018-03-08,2018-02-27,-1,3,9.12
2018-04-13,2bdf8b04c5b5f86330aa2998e20e7bce,2018-08-15,2018-04-13,0,6,2018-04-12,2018-03-26,-1,1,5.74
2018-05-08,2bdf8b04c5b5f86330aa2998e20e7bce,2018-08-15,2018-05-08,0,6,2018-05-07,2018-04-17,-1,1,5.89
2018-06-29,2bdf8b04c5b5f86330aa2998e20e7bce,2018-08-15,2018-06-29,0,6,2018-06-28,2018-06-19,-1,1,5.89
2018-04-19,ca9a7c2abacebcc9e1a6748e61ea0b50,2018-08-15,2018-04-19,0,6,2018-04-18,2018-03-23,-1,1,5.67
2018-03-15,12c9ec6567e155ed8a300fcfe8521ba9,2018-08-15,2018-03-15,0,6,2018-03-14,2018-02-26,-1,1,5.45
2018-07-23,12c9ec6567e155ed8a300fcfe8521ba9,2018-08-15,2018-07-23,0,6,2018-07-12,2018-06-13,1,7,83.96
2018-03-27,adc05275f573ac30fa075a4e0b26419c,2018-08-15,2018-03-27,0,6,2018-03-23,2018-03-01,-1,2,18.21
2018-07-09,adc05275f573ac30fa075a4e0b26419c,2018-08-15,2018-07-09,0,6,2018-07-05,2018-06-26,-1,2,5.72
2018-07-26,adc05275f573ac30fa075a4e0b26419c,2018-08-15,2018-07-26,0,6,2018-07-25,2018-07-13,-1,1,9.95
2018-03-20,9d4ee07d70da705697a46622b6e3079b,2018-08-15,2018-03-20,0,6,2018-03-19,2018-03-01,-1,1,3.54
2018-07-27,9d4ee07d70da705697a46622b6e3079b,2018-08-15,2018-07-27,0,6,2018-07-23,2018-07-06,-1,4,9.61
2018-08-14,9d4ee07d70da705697a46622b6e3079b,2018-08-15,2018-08-14,0,5,2018-08-09,2018-07-30,0,3,22.71
2018-03-13,28e1804fa20a27a60a24bbe72c88069a,2018-08-15,2018-03-13,0,6,2018-03-07,2018-02-27,-1,4,8.63
2018-04-03,28e1804fa20a27a60a24bbe72c88069a,2018-08-15,2018-04-03,0,6,2018-03-29,2018-03-13,-1,3,3.3
2018-06-29,28e1804fa20a27a60a24bbe72c88069a,2018-08-15,2018-06-29,0,6,2018-06-28,2018-06-19,-1,1,4.37
2018-07-24,28e1804fa20a27a60a24bbe72c88069a,2018-08-15,2018-07-24,0,6,2018-07-20,2018-06-29,-1,2,2.83
2018-08-14,28e1804fa20a27a60a24bbe72c88069a,2018-08-15,2018-08-14,0,5,2018-08-10,2018-07-30,1,2,21.02
2018-03-13,f64b9ada7a5c691e6da2bc455523fcfc,2018-08-15,2018-03-13,0,6,2018-03-12,2018-02-27,-1,1,3.14
2018-04-23,f64b9ada7a5c691e6da2bc455523fcfc,2018-08-15,2018-04-23,0,6,2018-04-19,2018-03-26,0,2,15.02
2018-08-14,ccbeb314788fd5675a7bd6e31740e031,2018-08-15,2018-08-14,0,5,2018-08-09,2018-07-06,2,3,33.33
2018-03-14,f0483b38c41d8cd0acb3466b596095e9,2018-08-15,2018-03-14,0,6,2018-03-08,2018-02-22,-1,4,6.8
2018-04-02,f0483b38c41d8cd0acb3466b596095e9,2018-08-15,2018-04-02,0,6,2018-03-29,2018-03-14,-1,2,5.61
2018-04-25,f0483b38c41d8cd0acb3466b596095e9,2018-08-15,2018-04-25,0,6,2018-04-24,2018-04-02,-1,1,4.47
2018-06-12,f0483b38c41d8cd0acb3466b596095e9,2018-08-15,2018-06-12,0,6,2018-06-12,2018-05-30,-1,-1,-1.0
2018-07-12,f0483b38c41d8cd0acb3466b596095e9,2018-08-15,2018-07-12,0,6,2018-07-11,2018-06-19,-1,1,3.14
2018-08-14,f0483b38c41d8cd0acb3466b596095e9,2018-08-15,2018-08-14,0,5,2018-08-13,2018-07-12,0,1,9.98
2018-03-05,6dfbfc13ab2ae0a89c606e92e13d374d,2018-08-15,2018-03-05,0,6,2018-03-02,2018-02-14,-1,1,5.76
2018-03-22,6dfbfc13ab2ae0a89c606e92e13d374d,2018-08-15,2018-03-22,0,6,2018-03-20,2018-03-05,-1,2,3.28
2018-05-17,6dfbfc13ab2ae0a89c606e92e13d374d,2018-08-15,2018-05-17,0,6,2018-05-16,2018-03-22,-1,1,9.79
2018-06-12,6dfbfc13ab2ae0a89c606e92e13d374d,2018-08-15,2018-06-12,0,6,2018-06-08,2018-05-30,1,2,6.11
2018-03-12,64adc947d89931ade9467d90f2cde04f,2018-08-15,2018-03-12,0,6,2018-03-07,2018-02-13,-1,3,5.64
2018-07-03,64adc947d89931ade9467d90f2cde04f,2018-08-15,2018-07-03,0,6,2018-07-02,2018-06-20,-1,1,10.0
2018-08-14,64adc947d89931ade9467d90f2cde04f,2018-08-15,2018-08-14,0,5,2018-08-10,2018-07-05,0,2,13.23
2018-08-14,ee01472c31eddd7800e7d7719841b45d,2018-08-15,2018-08-14,0,5,2018-07-05,2018-06-21,2,9,123.64
2018-03-13,dceb365881f5c1f186c2351d8295cdf9,2018-08-15,2018-03-13,0,6,2018-03-09,2018-02-27,-1,2,11.5
2018-05-08,d3a470304a90f67772a69570d426774e,2018-08-15,2018-05-08,0,6,2018-05-07,2018-04-17,-1,1,5.13
2018-07-27,d3a470304a90f67772a69570d426774e,2018-08-15,2018-07-27,0,6,2018-07-26,2018-06-21,-1,1,4.57
2018-03-12,8d28c8039e0cd29382fa5851bde3f253,2018-08-15,2018-03-12,0,6,2018-03-05,2018-02-14,-1,5,7.2
2018-05-18,8d28c8039e0cd29382fa5851bde3f253,2018-08-15,2018-05-18,0,6,2018-05-16,2018-05-04,-1,2,2.18
2018-07-03,8d28c8039e0cd29382fa5851bde3f253,2018-08-15,2018-07-03,0,6,2018-07-02,2018-06-19,-1,1,2.94
2018-07-31,8d28c8039e0cd29382fa5851bde3f253,2018-08-15,2018-07-31,0,6,2018-07-27,2018-07-03,-1,2,4.92
2018-05-10,76264859cc61834ccdea073065e4fe72,2018-08-15,2018-05-10,0,6,2018-05-08,2018-04-18,-1,2,3.29
2018-05-22,76264859cc61834ccdea073065e4fe72,2018-08-15,2018-05-22,0,6,2018-05-18,2018-05-10,-1,2,3.53
2018-08-14,76264859cc61834ccdea073065e4fe72,2018-08-15,2018-08-14,0,5,2018-08-13,2018-08-03,0,1,9.98
2018-08-14,cd10483e7c30e0166cd953444c0b20f5,2018-08-15,2018-08-14,0,5,2018-08-13,2018-08-02,0,1,9.97
2018-08-14,59c3edc66a66ae9cef54d8d4748fede1,2018-08-15,2018-08-14,0,5,2018-08-10,2018-07-30,0,2,15.7
2018-07-12,d4ee2cf362c46daf28a3dcca7e8b6fb8,2018-08-15,2018-07-12,0,6,2018-07-06,2018-06-26,-1,4,8.97
2018-03-12,8147b5f67931ff69ea78183dd1264d35,2018-08-15,2018-03-12,0,6,2018-03-08,2018-02-26,-1,2,4.6
2018-04-02,8147b5f67931ff69ea78183dd1264d35,2018-08-15,2018-04-02,0,6,2018-03-27,2018-03-12,-1,4,9.21
2018-04-19,8147b5f67931ff69ea78183dd1264d35,2018-08-15,2018-04-19,0,6,2018-04-17,2018-04-02,-1,2,12.1
2018-05-03,8147b5f67931ff69ea78183dd1264d35,2018-08-15,2018-05-03,0,6,2018-05-02,2018-04-19,0,1,9.98
2018-06-29,8147b5f67931ff69ea78183dd1264d35,2018-08-15,2018-06-29,0,6,2018-06-28,2018-06-19,-1,1,6.07
2018-07-17,8147b5f67931ff69ea78183dd1264d35,2018-08-15,2018-07-17,0,6,2018-07-11,2018-06-29,3,4,28.76
2018-08-13,8147b5f67931ff69ea78183dd1264d35,2018-08-15,2018-08-13,0,6,2018-08-09,2018-07-17,0,2,20.99
2018-03-05,069f1869f2906016af5bc65796ad9944,2018-08-15,2018-03-05,0,6,2018-03-02,2018-02-13,-1,1,7.23
2018-03-28,069f1869f2906016af5bc65796ad9944,2018-08-15,2018-03-28,0,6,2018-03-26,2018-03-05,-1,2,4.55
2018-03-06,fc5ed32993399bea869c73b529debd84,2018-08-15,2018-03-06,0,6,2018-03-02,2018-02-14,-1,2,3.47
2018-04-11,fc5ed32993399bea869c73b529debd84,2018-08-15,2018-04-11,0,6,2018-04-10,2018-03-26,-1,1,7.13
2018-08-13,fc5ed32993399bea869c73b529debd84,2018-08-15,2018-08-13,0,6,2018-08-09,2018-07-30,0,2,21.02
2018-03-26,57c96e6ec6fa332858ca85cc6a249f88,2018-08-15,2018-03-26,0,6,2018-03-21,2018-03-08,1,3,25.91
2018-05-25,57c96e6ec6fa332858ca85cc6a249f88,2018-08-15,2018-05-25,0,6,2018-05-23,2018-04-26,-1,2,5.47
2018-04-02,11ca679621f2bbc3e2a8c3d0fb10a146,2018-08-15,2018-04-02,0,6,2018-03-29,2018-03-15,-1,2,5.18
2018-04-19,11ca679621f2bbc3e2a8c3d0fb10a146,2018-08-15,2018-04-19,0,6,2018-04-18,2018-04-02,-1,1,4.09
2018-04-10,1cff48ba0020c6fcdd6c4fe0e40f5247,2018-08-15,2018-04-10,0,6,2018-04-04,2018-03-23,-1,2,6.7
2018-04-25,1cff48ba0020c6fcdd6c4fe0e40f5247,2018-08-15,2018-04-25,0,6,2018-04-23,2018-04-10,-1,2,6.51
2018-06-14,1cff48ba0020c6fcdd6c4fe0e40f5247,2018-08-15,2018-06-14,0,6,2018-06-13,2018-05-23,-1,1,6.96
2018-08-02,1cff48ba0020c6fcdd6c4fe0e40f5247,2018-08-15,2018-08-02,0,6,2018-08-01,2018-07-18,-1,1,6.33
2018-03-12,1a26b7f2310457d890d76060953ea30c,2018-08-15,2018-03-12,0,6,2018-03-08,2018-02-14,-1,2,7.53
2018-04-20,1a26b7f2310457d890d76060953ea30c,2018-08-15,2018-04-20,0,6,2018-04-18,2018-04-02,-1,2,8.92
2018-05-25,1a26b7f2310457d890d76060953ea30c,2018-08-15,2018-05-25,0,6,2018-05-23,2018-05-03,-1,2,13.83
2018-06-20,1a26b7f2310457d890d76060953ea30c,2018-08-15,2018-06-20,0,6,2018-06-14,2018-05-25,0,3,21.89
2018-08-13,1a26b7f2310457d890d76060953ea30c,2018-08-15,2018-08-13,0,6,2018-08-10,2018-07-30,0,1,9.98
2018-04-18,778dcdb691a2b29a92f4fba81c61e40d,2018-08-15,2018-04-18,0,6,2018-04-17,2018-04-02,-1,1,7.79
2018-06-29,778dcdb691a2b29a92f4fba81c61e40d,2018-08-15,2018-06-29,0,6,2018-06-28,2018-06-19,-1,1,5.47
2018-03-27,b663fbe8ab20b1ae375233e33f308604,2018-08-15,2018-03-27,0,6,2018-03-23,2018-03-01,-1,2,10.47
2018-04-10,b663fbe8ab20b1ae375233e33f308604,2018-08-15,2018-04-10,0,6,2018-04-09,2018-03-27,-1,1,3.07
