code,stage,xt_start,xt_end,brk_end,created,date,emphasis
5be767145690c02e8e940fd6c91fd1a1,5,2018-07-18,2018-07-31,2018-08-02,2018-08-02,2018-08-02,
d06b9764167f1ad0c85f750c818e09c1,5,2018-07-18,2018-07-30,2018-08-02,2018-08-02,2018-08-02,
c3b5aca7890bff7b2bb72e6e18913960,2,2018-06-19,2018-08-02,,2018-08-02,2018-08-02,
286c87c9df7e5bd33bdc2a66d4bfe74f,5,2018-07-12,2018-07-31,2018-08-02,2018-08-02,2018-08-02,
18503a492e02160af18b32c42404a179,2,2018-07-25,2018-08-02,,2018-08-02,2018-08-02,
87cdd7437e72353f6b2e72e51725fab3,2,2018-07-23,2018-08-02,,2018-08-02,2018-08-02,
52b173fec6873c0c961c1251ed22b964,5,2018-06-19,2018-07-30,2018-08-02,2018-08-02,2018-08-02,
abf3c1cca9650357e60ce2c70fc313a0,5,2018-07-20,2018-07-30,2018-08-02,2018-08-02,2018-08-02,
e61010369d00f9a1e49de182ed7b7f8b,2,2018-06-22,2018-08-02,,2018-08-02,2018-08-02,
6384880fc3defaecef1fe647018abf6c,5,2018-07-24,2018-08-01,2018-08-02,2018-08-02,2018-08-02,
ccc765688e55c4d9d9d937307f10c680,2,2018-07-10,2018-08-02,,2018-08-02,2018-08-02,
5fd5e976e140c24f8e4a7c52f8af69d9,2,2018-07-25,2018-08-02,,2018-08-02,2018-08-02,
961c15d89727c74ff3b6af3e7287ea46,2,2018-07-25,2018-08-02,,2018-08-02,2018-08-02,
7df44ef0429c6a61dc379d06db381ebd,2,2018-07-19,2018-08-02,,2018-08-02,2018-08-02,
ab3fbe1ebeddecb016b0bd3ee9d1a7b4,2,2018-07-23,2018-08-02,,2018-08-02,2018-08-02,
9cbe82b67ea2fd4573f172442fc9db24,2,2018-07-24,2018-08-02,,2018-08-02,2018-08-02,
7d417a04875dc9e066b6ea21577ba52f,2,2018-07-23,2018-08-02,,2018-08-02,2018-08-02,
